Date,Open,High,Low,Close,Volume,Adj Close
30-07-2015,545,545,529.875,534.549988,222822,436.693359
31-07-2015,539.5,540.599976,530.799988,539.025024,286918,440.349182
03-08-2015,540,545.75,534.5,539.525024,253720,440.75766
04-08-2015,539,540,526.5,529.900024,352202,432.894653
05-08-2015,532.5,545,532.5,543.275024,215864,443.821136
06-08-2015,545.099976,552.974976,539.5,544.724976,371854,445.005676
07-08-2015,544.724976,550.450012,540,547.799988,204284,447.517731
10-08-2015,548.5,553,534.049988,540.974976,205472,441.942108
11-08-2015,549.450012,557.5,536.75,552.174988,456668,451.091797
12-08-2015,555,573.5,555,570.875,509318,466.368622
13-08-2015,573.5,583,565,578.424988,590616,472.536499
14-08-2015,583,584.400024,571.5,574.5,369230,469.330048
17-08-2015,575,575.375,561.25,570.924988,188892,466.409424
18-08-2015,573.5,588.5,573.5,581.900024,365950,475.375305
19-08-2015,583,593,581.900024,587.525024,569144,479.970612
20-08-2015,585,585,565.099976,569.099976,477064,464.918549
21-08-2015,570.5,579.700012,559.549988,575.299988,465234,469.983551
24-08-2015,560,561.5,540.025024,546.325012,680698,446.312805
25-08-2015,548,560,522.5,543.25,505044,443.80072
26-08-2015,549.5,549.5,529.799988,532.674988,374788,435.161621
27-08-2015,545,549.450012,538.25,542.049988,239770,442.820404
28-08-2015,547.599976,562,547.5,555.349976,340600,453.685638
31-08-2015,565,565,541.799988,547.599976,389940,447.35434
01-09-2015,544.974976,557.200012,541.049988,544.825012,388726,445.087372
02-09-2015,550,557.299988,545.049988,550.150024,314152,449.437592
03-09-2015,555,555.525024,546.974976,550.325012,169652,449.580566
04-09-2015,553.900024,555,534,536.900024,316660,438.61322
07-09-2015,540.5,542,527.5,529.799988,229390,432.812988
08-09-2015,531.5,537.224976,526.174988,529.650024,289944,432.69043
09-09-2015,544,549.5,536.25,544.25,295314,444.617645
10-09-2015,544,545.349976,530.849976,540.174988,249656,441.288666
11-09-2015,546,552.724976,542.625,545.349976,264426,445.516235
14-09-2015,548.099976,550,541.275024,548.875,175970,448.395966
15-09-2015,549.5,552.150024,544.049988,549.200012,171054,448.661499
16-09-2015,552.5,554.224976,549.099976,550.75,509406,449.927704
18-09-2015,555,559,549.625,552.375,286152,451.25531
21-09-2015,550,554.099976,548.5,552.325012,174482,451.214447
22-09-2015,557.5,567.700012,550,552.75,378242,451.561615
23-09-2015,554.900024,563,548.75,558.325012,222834,456.116028
24-09-2015,555.5,574.799988,555.025024,570.700012,397886,466.225647
28-09-2015,570,571.674988,551.525024,554.099976,305320,452.66449
29-09-2015,551,566,549,560.549988,335232,457.933685
30-09-2015,566.5,582.674988,563.775024,580.224976,434424,474.006958
01-10-2015,584.950012,598.5,581.174988,586.625,435728,479.235352
